parameter,depth_m,value,unit,year,month,source,note
NO3,0,4.14,uM,1999,august,Bossard,
NO3,0.5,2.48,uM,1999,august,Bossard,
NO3,1,3.52,uM,1999,august,Bossard,
NO3,1.5,2.65,uM,1999,august,Bossard,
NO3,2.5,1.86,uM,1999,august,Bossard,
NO3,3.8,2.12,uM,1999,august,Bossard,
NO3,5,2.51,uM,1999,august,Bossard,
NO3,7.5,3.2,uM,1999,august,Bossard,
NO3,10,4.32,uM,1999,august,Bossard,
NO3,12.5,4.31,uM,1999,august,Bossard,
NO3,15,4.8,uM,1999,august,Bossard,
NO3,20,5.29,uM,1999,august,Bossard,
NO3,0,0.95,uM,1999,september,Bossard,
NO3,0.4,0.46,uM,1999,september,Bossard,
NO3,1,0.42,uM,1999,september,Bossard,
NO3,1.4,0.31,uM,1999,september,Bossard,
NO3,2.4,0.3,uM,1999,september,Bossard,
NO3,3.7,0.15,uM,1999,september,Bossard,
NO3,5,0.48,uM,1999,september,Bossard,
NO3,7.5,0.8,uM,1999,september,Bossard,
NO3,10,4.03,uM,1999,september,Bossard,
NO3,12.5,2.74,uM,1999,september,Bossard,
NO3,14.9,2.96,uM,1999,september,Bossard,
NH4,0,0.38,uM,1999,august,Bossard,
NH4,0.6,0.94,uM,1999,august,Bossard,
NH4,1.2,0.12,uM,1999,august,Bossard,
NH4,1.6,0.24,uM,1999,august,Bossard,
NH4,2.6,0.16,uM,1999,august,Bossard,
NH4,3.9,0,uM,1999,august,Bossard,
NH4,5,0,uM,1999,august,Bossard,
NH4,7.6,1.81,uM,1999,august,Bossard,
NH4,10,1.66,uM,1999,august,Bossard,
NH4,12.4,18.1,uM,1999,august,Bossard,
NH4,0,2.07,uM,1999,september,Bossard,
NH4,1.1,0.24,uM,1999,september,Bossard,
NH4,1.6,0.24,uM,1999,september,Bossard,
NH4,2.6,0,uM,1999,september,Bossard,
NH4,3.8,0.09,uM,1999,september,Bossard,
NH4,5,0.02,uM,1999,september,Bossard,
NH4,7.5,0.24,uM,1999,september,Bossard,
NH4,10,0.66,uM,1999,september,Bossard,
NH4,12.4,12.44,uM,1999,september,Bossard,
ortho-P,0,0.01,uM,1999,august,Bossard,ortho-P (PO4)
ortho-P,1,0.02,uM,1999,august,Bossard,
ortho-P,1.5,0.02,uM,1999,august,Bossard,
ortho-P,2.5,0.02,uM,1999,august,Bossard,
ortho-P,3.7,0.03,uM,1999,august,Bossard,
ortho-P,5,0.03,uM,1999,august,Bossard,
ortho-P,7.5,0.02,uM,1999,august,Bossard,
ortho-P,10,0.02,uM,1999,august,Bossard,
ortho-P,12.5,0.02,uM,1999,august,Bossard,
ortho-P,15.1,2.81,uM,1999,august,Bossard,
ortho-P,20.1,3.55,uM,1999,august,Bossard,
ortho-P,0,0.02,uM,1999,september,Bossard,
ortho-P,0.5,0.02,uM,1999,september,Bossard,
ortho-P,1.1,0.02,uM,1999,september,Bossard,
ortho-P,1.5,0.02,uM,1999,september,Bossard,
ortho-P,2.5,0.02,uM,1999,september,Bossard,
ortho-P,3.7,0.02,uM,1999,september,Bossard,
ortho-P,5,0.01,uM,1999,september,Bossard,
ortho-P,7.5,0.02,uM,1999,september,Bossard,
ortho-P,10,0.02,uM,1999,september,Bossard,
ortho-P,12.5,0.02,uM,1999,september,Bossard,
ortho-P,15,2.5,uM,1999,september,Bossard,
ortho-P,20,3.92,uM,1999,september,Bossard,
O2,0,309.41,uM,1999,august,Bossard,
O2,1,318.55,uM,1999,august,Bossard,
O2,1.5,317.65,uM,1999,august,Bossard,
O2,2.5,317.52,uM,1999,august,Bossard,
O2,3.7,312.31,uM,1999,august,Bossard,
O2,5,312.99,uM,1999,august,Bossard,
