parameter,depth_m,value,unit,year,month,source,note
temp,0,27.8,c,2004,september,Crowe 2008a,"Crowe 2008a says data points measured in 2004 are from aug-sept, 2005 from june-jul, but here they are marked as the ladder month"
temp,20,27.7,c,2004,september,Crowe 2008a,
temp,40,27.6,c,2004,september,Crowe 2008a,
temp,60,27.6,c,2004,september,Crowe 2008a,
temp,80,27.6,c,2004,september,Crowe 2008a,
temp,100,27.4,c,2004,september,Crowe 2008a,
temp,120,26.8,c,2004,september,Crowe 2008a,
temp,140,26.5,c,2004,september,Crowe 2008a,
temp,160,26.2,c,2004,september,Crowe 2008a,
temp,180,25.9,c,2004,september,Crowe 2008a,
temp,200,25.8,c,2004,september,Crowe 2008a,
temp,250,25.6,c,2004,september,Crowe 2008a,
temp,300,25.6,c,2004,september,Crowe 2008a,
temp,350,25.6,c,2004,september,Crowe 2008a,
temp,400,25.6,c,2004,september,Crowe 2008a,
temp,450,25.6,c,2004,september,Crowe 2008a,
temp,500,25.6,c,2004,september,Crowe 2008a,
temp,550,25.6,c,2004,september,Crowe 2008a,
temp,0,28.4,c,2005,july,Crowe 2008a,
temp,20,28.4,c,2005,july,Crowe 2008a,
temp,40,28.4,c,2005,july,Crowe 2008a,
temp,60,27.8,c,2005,july,Crowe 2008a,
temp,80,27.6,c,2005,july,Crowe 2008a,
temp,100,27.4,c,2005,july,Crowe 2008a,
temp,120,26.8,c,2005,july,Crowe 2008a,
temp,140,26.4,c,2005,july,Crowe 2008a,
temp,160,26.1,c,2005,july,Crowe 2008a,
temp,180,25.9,c,2005,july,Crowe 2008a,
temp,200,25.8,c,2005,july,Crowe 2008a,
temp,250,25.6,c,2005,july,Crowe 2008a,
temp,300,25.6,c,2005,july,Crowe 2008a,
temp,350,25.6,c,2005,july,Crowe 2008a,
temp,400,25.6,c,2005,july,Crowe 2008a,
temp,450,25.6,c,2005,july,Crowe 2008a,
temp,500,25.6,c,2005,july,Crowe 2008a,
temp,550,25.6,c,2005,july,Crowe 2008a,
conductivity,0,193,uS,2004,september,Crowe 2008a,
conductivity,20,192,uS,2004,september,Crowe 2008a,
conductivity,40,192,uS,2004,september,Crowe 2008a,
conductivity,60,192,uS,2004,september,Crowe 2008a,
conductivity,80,192,uS,2004,september,Crowe 2008a,
conductivity,100,205,uS,2004,september,Crowe 2008a,
conductivity,120,229,uS,2004,september,Crowe 2008a,
conductivity,140,254,uS,2004,september,Crowe 2008a,
conductivity,160,278,uS,2004,september,Crowe 2008a,
conductivity,180,294,uS,2004,september,Crowe 2008a,
conductivity,200,303,uS,2004,september,Crowe 2008a,
conductivity,250,314,uS,2004,september,Crowe 2008a,
conductivity,300,318,uS,2004,september,Crowe 2008a,
conductivity,350,320,uS,2004,september,Crowe 2008a,
conductivity,400,321,uS,2004,september,Crowe 2008a,
conductivity,450,321,uS,2004,september,Crowe 2008a,
conductivity,500,321,uS,2004,september,Crowe 2008a,
conductivity,550,321,uS,2004,september,Crowe 2008a,
conductivity,0,191,uS,2005,july,Crowe 2008a,
conductivity,20,191,uS,2005,july,Crowe 2008a,
conductivity,40,192,uS,2005,july,Crowe 2008a,
conductivity,60,193,uS,2005,july,Crowe 2008a,
conductivity,80,194,uS,2005,july,Crowe 2008a,
conductivity,100,201,uS,2005,july,Crowe 2008a,
conductivity,120,229,uS,2005,july,Crowe 2008a,
conductivity,140,254,uS,2005,july,Crowe 2008a,
conductivity,160,277,uS,2005,july,Crowe 2008a,
conductivity,180,290,uS,2005,july,Crowe 2008a,
conductivity,200,302,uS,2005,july,Crowe 2008a,
conductivity,250,311,uS,2005,july,Crowe 2008a,
conductivity,300,317,uS,2005,july,Crowe 2008a,
conductivity,350,318,uS,2005,july,Crowe 2008a,
conductivity,400,319,uS,2005,july,Crowe 2008a,
conductivity,450,319,uS,2005,july,Crowe 2008a,
conductivity,500,319,uS,2005,july,Crowe 2008a,
conductivity,550,319,uS,2005,july,Crowe 2008a,
density,0,996.5,kg_m-3,2004,september,Crowe 2008a,
density,20,996.5,kg_m-3,2004,september,Crowe 2008a,
density,40,996.5,kg_m-3,2004,september,Crowe 2008a,
density,60,996.5,kg_m-3,2004,september,Crowe 2008a,
density,80,996.5,kg_m-3,2004,september,Crowe 2008a,
density,100,996.6,kg_m-3,2004,september,Crowe 2008a,
density,120,996.7,kg_m-3,2004,september,Crowe 2008a,
density,140,996.9,kg_m-3,2004,september,Crowe 2008a,
density,160,997.0,kg_m-3,2004,september,Crowe 2008a,
density,180,997.0,kg_m-3,2004,september,Crowe 2008a,
density,200,997.1,kg_m-3,2004,september,Crowe 2008a,
density,250,997.1,kg_m-3,2004,september,Crowe 2008a,
